[[-2.21525574e+01  3.72856069e+00]
 [-2.21558514e+01  3.32142806e+00]
 [-2.21597233e+01  2.85353565e+00]
 [-2.21632614e+01  2.45495915e+00]
 [-2.21685848e+01  1.71728444e+00]
 [-2.21769810e+01  2.76621908e-01]
 [-2.21874237e+01 -1.68609393e+00]
 [-2.21959209e+01 -3.33999753e+00]
 [-2.21985512e+01 -3.94173050e+00]
 [-2.21971893e+01 -3.82513356e+00]
 [-2.21943092e+01 -3.42237544e+00]
 [-2.21936378e+01 -3.35310793e+00]
 [-2.21937599e+01 -3.39509630e+00]
 [-2.21956730e+01 -3.76937842e+00]
 [-2.21978416e+01 -4.18116808e+00]
 [-2.21999836e+01 -4.60557795e+00]
 [-2.22009277e+01 -4.85335875e+00]
 [-2.21990585e+01 -4.59629822e+00]
 [-2.21957111e+01 -4.11468649e+00]
 [-2.21940498e+01 -3.94661951e+00]
 [-2.21958618e+01 -4.40066957e+00]
 [-2.21959553e+01 -4.50869513e+00]
 [-2.21951427e+01 -4.42358255e+00]
 [-2.21946983e+01 -4.34160709e+00]
 [-2.21939716e+01 -4.24306202e+00]
 [-2.21916618e+01 -3.90094280e+00]
 [-2.21905479e+01 -3.81458402e+00]
 [-2.21900959e+01 -3.86116862e+00]
 [-2.21896591e+01 -3.93013263e+00]
 [-2.21886196e+01 -3.89368725e+00]
 [-2.21886368e+01 -4.02843904e+00]
 [-2.21905689e+01 -4.43499184e+00]
 [-2.21924000e+01 -4.79093552e+00]
 [-2.21941738e+01 -5.11546421e+00]
 [-2.21959419e+01 -5.43000031e+00]
 [-2.21980438e+01 -5.68903255e+00]
 [-2.21990108e+01 -5.68588924e+00]
 [-2.21996384e+01 -5.67297173e+00]
 [-2.21992016e+01 -5.46135855e+00]
 [-2.21983299e+01 -5.13613844e+00]
 [-2.21957397e+01 -4.42989111e+00]
 [-2.21931934e+01 -3.69734836e+00]
 [-2.21908684e+01 -2.97693253e+00]
 [-2.21885643e+01 -2.35136557e+00]
 [-2.21872520e+01 -1.95012152e+00]
 [-2.21860676e+01 -1.59017920e+00]
 [-2.21854916e+01 -1.19026446e+00]
 [-2.21842384e+01 -7.50881433e-01]
 [-2.21804695e+01  7.08618164e-02]
 [-2.21751308e+01  1.08353209e+00]
 [-2.21680107e+01  2.30953622e+00]
 [-2.21629963e+01  3.11913586e+00]
 [-2.21589165e+01  3.71414113e+00]
 [-2.21576023e+01  3.69823050e+00]
 [-2.21568489e+01  3.68313813e+00]
 [-2.21559734e+01  3.85307193e+00]
 [-2.21544037e+01  4.06109667e+00]
 [-2.21503677e+01  4.63254309e+00]
 [-2.21471634e+01  5.04215288e+00]
 [-2.21456985e+01  5.16600180e+00]
 [-2.21259537e+01  5.01053953e+00]
 [-2.19640369e+01  4.68977642e+00]
 [-2.18002529e+01  4.64433622e+00]
 [-2.16372509e+01  4.51827192e+00]
 [-2.14724636e+01  4.82515335e+00]
 [-2.13077526e+01  5.18126440e+00]
 [-2.11443672e+01  5.27270603e+00]
 [-2.09833031e+01  4.96389437e+00]
 [-2.08223801e+01  4.61610413e+00]
 [-2.06611176e+01  4.42942810e+00]
 [-2.04973583e+01  4.70145226e+00]
 [-2.03324471e+01  5.05046558e+00]
